keys,en
# Embervale string catalogue (Phase 24G). First column is the stable key; one column per locale.
# Author UI/dialogue strings here and reference them via Loc.T("key") — no hard-coded player strings.
# Add a new locale by adding a column (e.g. "fr") and translating each row.
menu.title,EMBERVALE
menu.subtitle,"Choose whether to save creation — or become its next Ash King."
menu.new_game,New Game
menu.continue,Continue
menu.load_game,Load Game
menu.settings,Settings
menu.quit,Quit
menu.coming_soon,Coming soon
pause.title,PAUSED
pause.resume,Resume
pause.save,Save
pause.load,Load
pause.settings,Settings
pause.quit,Quit to Desktop
settings.title,SETTINGS
settings.section.graphics,GRAPHICS
settings.section.audio,AUDIO
settings.section.controls,CONTROLS
settings.section.gameplay,GAMEPLAY
settings.section.accessibility,ACCESSIBILITY
settings.window_mode,Window Mode
settings.window_mode.windowed,Windowed
settings.window_mode.fullscreen,Fullscreen
settings.window_mode.borderless,Borderless
settings.vsync,V-Sync
settings.max_fps,Max FPS
settings.max_fps.uncapped,Uncapped
settings.master_volume,Master
settings.music_volume,Music
settings.sfx_volume,Effects
settings.ambience_volume,Ambience
settings.ui_volume,Interface
settings.voice_volume,Voice
settings.mouse_sensitivity,Mouse Sensitivity
settings.invert_y,Invert Look Y
settings.difficulty,Difficulty
settings.difficulty.story,Story
settings.difficulty.normal,Normal
settings.difficulty.hard,Hard
settings.reduced_motion,Reduced Motion
settings.subtitles,Subtitles
settings.ui_scale,UI Scale
slots.new_title,NEW GAME — CHOOSE A SLOT
slots.load_title,LOAD GAME
slots.empty,— Empty —
slots.slot,Slot {0}
slots.autosave,Autosave {0}
slots.entry,{0} · Lv {1} · {2} · {3} · {4}
slots.playtime,{0}h {1}m
common.back,Back
common.cancel,Cancel
common.new_game,New Game
common.overwrite,Overwrite
common.load,Load
common.delete,Delete
common.confirm_delete,Confirm delete
common.confirm_new,Confirm new
loading.title,Loading…
region.travel_prompt,Travel to {0}
map.title,WORLD MAP
map.empty,Nothing discovered yet — explore to fill the map.
hud.compass.n,N
hud.compass.ne,NE
hud.compass.e,E
hud.compass.se,SE
hud.compass.s,S
hud.compass.sw,SW
hud.compass.w,W
hud.compass.nw,NW
travel.prompt_attune,Attune to {0}
travel.prompt_attuned,{0} (attuned)
travel.button,Travel to {0}
map.travel_header,FAST TRAVEL
map.travel_empty,No waystones attuned yet.
craft.mode_craft,Craft
craft.mode_salvage,Salvage
craft.deconstruct,Deconstruct
craft.salvage_none,Nothing here can be salvaged at this station.
craft.yield_xp,+{0} XP
craft.equipped,Equipped
craft.recipes_none,No recipes for this station.
craft.craft,Craft
# Character screen (InventoryPanel)
char.title,CHARACTER   (I to close)
char.reputation,REPUTATION
char.dread,Dread: -{0} (corruption)
char.rep_line,{0}: {1} ({2})
char.xp_max,MAX
char.level_line,Level {0}    XP {1}
char.skill_points,Skill points: {0}
char.corruption,CORRUPTION
char.corruption_line,{0}   ({1}/{2})
char.perks,PERKS
char.perk_rank,{0}  ({1}/{2})
char.perk_learn,Learn ({0})
char.perk_maxed,[maxed]
char.perk_needs,[needs {0}]
char.unequip,Unequip
char.empty,(empty)
char.equip,Equip
char.backpack,BACKPACK
char.backpack_full,BACKPACK   {0}/{1}   wt {2}
# Quest journal (QuestLogPanel)
questlog.title,QUEST JOURNAL   (J to close)
questlog.none,(no quests)
questlog.no_active,(no active quests)
questlog.completed,COMPLETED
# Dialogue window (DialoguePanel)
dialogue.leave,(Leave)
# Game HUD (GameHud)
hud.hp,HP
hud.sta,STA
hud.mp,MP
hud.quest,QUEST
hud.level,Lv {0}
hud.ready,ready
hud.spell,Q: {0} ({1})
# Stat names (StatNames / character creator)
stat.health,Health
stat.stamina,Stamina
stat.mana,Mana
stat.strength,Strength
stat.dexterity,Dexterity
stat.intelligence,Intelligence
stat.vitality,Vitality
stat.endurance,Endurance
stat.armor,Armor
stat.physical_power,Physical Power
stat.spell_power,Spell Power
stat.move_speed,Move Speed
stat.attack_speed,Attack Speed
stat.crit_chance,Crit Chance
stat.crit_damage,Crit Damage
# Character creator (CharacterCreator)
create.title,CREATE CHARACTER
create.race,Race
create.innate,Innate
create.stat_line,{0} {1}
create.rep_line,{0} {1}
create.name,Name
create.name_hint,Enter a name
create.background,Background (optional)
create.background_hint,A line about who you are
create.confirm,Begin
create.back,Back
