asset,category,entity,source,meshy_task_id,rig_task_id,prompt,animations,refs_updated,status,notes
assets/models/characters/chr_player_base.glb,characters,player,custom-meshy,unknown-manual-export,unknown-manual-export,"(generated in the Meshy web app before this migration; prompt not recoverable via API)",Running + shared 46-clip library,src/Player/PlayerFactory.cs,adopted,"1024 texture cap; root_scale 1.0; retargeted via bonemap_meshy.tres"
assets/models/characters/npc_kael.glb,characters,npc.kael / companion.kael,custom-meshy,unknown-manual-export,unknown-manual-export,"(generated in the Meshy web app before this migration; prompt not recoverable via API)",Walking + shared 46-clip library,data/companions/Kael.tres + scenes/regions/ember_crown/town_hub.tscn,adopted,"1024 texture cap; root_scale 1.0; only Walking was exported, no Running"
assets/models/creatures/enm_goblin.glb,creatures,enemy.goblin,custom-meshy,unknown-manual-export,unknown-manual-export,"(generated in the Meshy web app before this migration; prompt not recoverable via API)",Running + shared 46-clip library,src/Enemies/EnemyFactory.cs,adopted,"1024 texture cap; root_scale 1.0; matches authored 1.7 m capsule"
assets/models/creatures/boss_iron_king.glb,creatures,enemy.iron_king (boss),custom-meshy,unknown-manual-export,unknown-manual-export,"(generated in the Meshy web app before this migration; prompt not recoverable via API)",Running + shared 46-clip library,data/enemies/IronKing.tres,adopted,"1024 texture cap; root_scale 1.53 to fill the authored 2.6 m capsule; measures 2.601 m"
assets/models/characters/npc_hooded.glb,characters,"npc.ash_dunmore, npc.emberbound_hierarch, npc.emberbound_seeker, npc.gate_hand, npc.hunter_tracker, npc.odo, npc.sedge",custom-meshy,01a06418-1a44-714f-a10e-303362c9d82b,01a0641a-64ef-7566-8e46-e961123ff456,"Full-body front view of a hooded human traveller, T-pose, arms straight out to the sides, plain flat grey background. Deep hood shadowing the face, heavy layered wool cloak over a belted tunic, worn leather bracers, cloth hand wraps, sturdy boots. Muted desaturated ash-grey and faded-earth-brown palette, cold iron buckles, one small ember-orange accent. Semi-realistic AAA fantasy game character, grounded weathered Skyrim-like realism, physically based materials, believable cloth folds, worn leather and edge-worn metal. Adult proportions, 7.5 heads tall. No weapon, no scenery.",Running + shared 46-clip library,scenes/regions/**/*.tscn (ExtResource unchanged),adopted-with-defect,"3627 tris; 1.75 m; KNOWN DEFECT accepted by maintainer: the hood slid off the head during image-to-3D conversion so the face is exposed, and the cloak drifted green-teal off palette"
assets/models/characters/npc_guild_rep.glb,characters,npc.dawnwarden_captain / npc.nessa / npc.road_warden / npc.search_warden,custom-meshy,01a06420-4385-74ef-bc73-3106b95c367c,01a06422-3e08-73d6-9f96-2c89fac3a1c4,ART_STYLE semi-realistic stem + 'uniformed fantasy road warden' clause (see README),Running + shared 46-clip library,scenes/regions/**/*.tscn (ExtResource unchanged),adopted,1.78 m
assets/models/characters/npc_vendor.glb,characters,npc.bregan / npc.corvin / npc.halvard / npc.odger / npc.traveller,custom-meshy,01a06420-4c62-708b-abb8-849ba5f26e86,01a06422-7501-70e9-9caf-a17bd57886d2,ART_STYLE semi-realistic stem + 'travelling pedlar' clause (see README),Running + shared 46-clip library,scenes/regions/**/*.tscn (ExtResource unchanged),adopted,1.75 m
assets/models/characters/npc_townsman.glb,characters,npc.archive_reader / npc.dawnwarden_serjeant / npc.emberbound_warder / npc.hunter_skinner / npc.syndicate_fixer,custom-meshy,01a06420-5526-7751-af5c-f78510962dce,01a06422-86f8-76c2-b377-0b6533e35710,ART_STYLE semi-realistic stem + 'working townsman' clause (see README),Running + shared 46-clip library,scenes/regions/**/*.tscn (ExtResource unchanged),adopted,1.76 m
assets/models/characters/npc_townswoman.glb,characters,npc.dawnwarden_armourer / npc.impound_clerk / npc.marta / npc.quill / npc.sable,custom-meshy,01a06420-5cca-72a2-a6f1-cb5acc2f9ffe,01a06422-9fdd-72fa-a1bb-4e46a2c84bed,ART_STYLE semi-realistic stem + 'working townswoman' clause (see README),Running + shared 46-clip library,scenes/regions/**/*.tscn (ExtResource unchanged),adopted,1.66 m
assets/models/characters/npc_innkeeper.glb,characters,npc.gilda,custom-meshy,01a06420-6401-7615-b07e-b088d2af6cbf,01a06422-d4fc-7025-8156-f6f5e35a9312,ART_STYLE semi-realistic stem + 'innkeeper woman' clause (see README),shared 46-clip library only,scenes/regions/**/*.tscn (ExtResource unchanged),adopted,"1.65 m; rig came back MIS-LABELLED (Hips->neck->Spine02->Spine, Head1 as the neck) and Meshy's own Running clip flattened the head into a slab. Mesh and bind pose are sound; adopted with --strip-animations so every slot resolves from the shared library. Has its own generated bonemap."
assets/models/characters/npc_merchant_m.glb,characters,npc.archive_steward / npc.coyle / npc.halder / npc.perrin / npc.syndicate_broker / npc.tam,custom-meshy,01a06420-7c1b-75ce-9c69-05df293190fb,01a06422-fdc3-7718-9a67-a33d3815475a,ART_STYLE semi-realistic stem + 'prosperous merchant' clause (see README),Running + shared 46-clip library,scenes/regions/**/*.tscn (ExtResource unchanged),adopted,1.74 m
assets/models/characters/npc_merchant_f.glb,characters,(no placed roles yet),custom-meshy,01a06420-abf3-7196-8123-9aced47ed96d,01a06423-30c2-7674-95e3-c2abc61f4823,ART_STYLE semi-realistic stem + 'merchant woman' clause (see README),Running + shared 46-clip library,scenes/regions/**/*.tscn (ExtResource unchanged),adopted,1.67 m
assets/models/characters/npc_adventurer_f.glb,characters,npc.hunter_master / npc.mercenary / npc.sera,custom-meshy,01a06420-8c0a-707e-9f8b-772a156289e8,01a06423-48e4-7330-a7a8-3aa26af5cd25,ART_STYLE semi-realistic stem + 'female adventurer' clause (see README),Running + shared 46-clip library,scenes/regions/**/*.tscn (ExtResource unchanged),adopted,1.70 m
assets/models/characters/npc_woman_dress.glb,characters,npc.archive_keeper / npc.hana / npc.mirelle / npc.wenna,custom-meshy,01a06420-942d-733f-8d69-e017d519541a,01a06423-5d67-74cf-83eb-e507f0f0915b,ART_STYLE semi-realistic stem + 'woman in a long dress' clause (see README),Running + shared 46-clip library,scenes/regions/**/*.tscn (ExtResource unchanged),adopted,1.68 m; predecessor's .import carried root_scale 0.384 which would have shrunk this model to 38% -- reset to 1.0
assets/models/creatures/enm_bandit.glb,creatures,enemy.Bandit,custom-meshy,01a06441-47c3-711e-bbc7-4f0c49ecf07e,01a06444-daab-7242-8e80-76938a042cb9,"Full-body front view of a human highway bandit, T-pose, arms straight out to the sides, plain flat grey background. Face half-wrapped in a dirty rag, patched leather jerkin over mismatched mail scraps, fingerless gloves, scuffed boots. Muted desaturated ash-grey and faded-earth-brown palette, cold iron buckles, one small ember-orange accent. Semi-realistic AAA fantasy game character, grounded weathered Skyrim-like realism, physically based materials, believable cloth folds, worn leather and edge-worn metal. Adult proportions, 7.5 heads tall. No weapon, no scenery.",Running + shared 46-clip library,data/enemies/Bandit.tres (was npc_hooded.glb),adopted,1.800 m; 3591 tris; 1024 texture cap
assets/models/creatures/enm_barrow_wight.glb,creatures,enemy.BarrowWight,custom-meshy,01a06441-5f0b-73ce-a4e6-f4938cb48678,01a06445-170f-752f-9962-22d2857a4adb,"Full-body front view of an undead barrow wight, T-pose, arms straight out to the sides, plain flat grey background. Gaunt desiccated grave-warden, sunken hollow eye sockets, tattered burial shroud over corroded scale, dirt-crusted greaves. Muted desaturated ash-grey and faded-earth-brown palette, cold iron buckles, one small ember-orange accent. Semi-realistic AAA fantasy game character, grounded weathered Skyrim-like realism, physically based materials, believable cloth folds, worn leather and edge-worn metal. Adult proportions, 7.5 heads tall. No weapon, no scenery.",Running + shared 46-clip library,data/enemies/BarrowWight.tres (was npc_guild_rep.glb),adopted,1.700 m; 3530 tris; 1024 texture cap
assets/models/creatures/enm_bone_knight.glb,creatures,enemy.BoneKnight,custom-meshy,01a06441-76e1-7074-92f2-0e957f8221ca,01a06445-52fb-73e6-a411-5086c3b73306,"Full-body front view of a skeletal bone knight, T-pose, arms straight out to the sides, plain flat grey background. Fleshless armoured revenant, pitted rust-eaten plate, ribcage bare through a broken cuirass, ragged surcoat, closed visored helm. Muted desaturated ash-grey and faded-earth-brown palette, cold iron buckles, one small ember-orange accent. Semi-realistic AAA fantasy game character, grounded weathered Skyrim-like realism, physically based materials, believable cloth folds, worn leather and edge-worn metal. Adult proportions, 7.5 heads tall. No weapon, no scenery.",Running + shared 46-clip library,data/enemies/BoneKnight.tres (was npc_guild_rep.glb),adopted,1.800 m; 3457 tris; 1024 texture cap
