path,category,file_bytes,mesh_count,vertex_count,triangle_count,primitive_count,material_count,texture_count,texture_bytes,skin_count,bone_count,animation_count,usage_count,recommendation,flag_count
assets/models/animations/anim_library.glb,animations,6671104,1,8546,13744,2,2,0,0,1,53,46,1,KEEP,0
assets/models/architecture/bld_blacksmith.glb,architecture,624460,1,12947,7659,8,8,0,0,0,0,0,2,KEEP,1
assets/models/architecture/bld_cottage.glb,architecture,107876,1,3736,2336,5,5,0,0,0,0,0,2,KEEP,0
assets/models/architecture/bld_house_a.glb,architecture,409020,1,11436,5758,9,9,0,0,0,0,0,4,KEEP,1
assets/models/architecture/bld_house_b.glb,architecture,132476,1,3584,2288,4,4,0,0,0,0,0,5,KEEP,0
assets/models/architecture/bld_inn.glb,architecture,468064,1,12961,7756,7,7,0,0,0,0,0,2,KEEP,1
assets/models/architecture/mod_balcony_corner.gltf,architecture,1659,1,3456,2240,1,1,3,7375922,0,0,0,3,IMPROVE,1
assets/models/architecture/mod_balcony_straight.gltf,architecture,1642,1,1728,1120,1,1,3,7375922,0,0,0,3,IMPROVE,1
assets/models/architecture/mod_chimney.gltf,architecture,2820,1,524,618,2,2,6,15071220,0,0,0,17,KEEP,1
assets/models/architecture/mod_chimney_alt.gltf,architecture,1653,1,122,130,1,1,3,8058130,0,0,0,4,KEEP,0
assets/models/architecture/mod_corner.gltf,architecture,1629,1,24,12,1,1,3,7375922,0,0,0,17,KEEP,0
assets/models/architecture/mod_door.gltf,architecture,2866,1,772,470,2,2,3,7375922,0,0,0,17,KEEP,0
assets/models/architecture/mod_floor_stone.gltf,architecture,1575,1,8,4,1,1,3,8058130,0,0,0,0,KEEP,0
assets/models/architecture/mod_floor_wood.gltf,architecture,1561,1,64,32,1,1,3,7375922,0,0,0,1,KEEP,0
assets/models/architecture/mod_gable_4.gltf,architecture,2840,1,368,252,2,2,6,17681517,0,0,0,11,KEEP,2
assets/models/architecture/mod_gable_6.gltf,architecture,2841,1,524,328,2,2,6,17681517,0,0,0,5,KEEP,2
assets/models/architecture/mod_gable_8.gltf,architecture,2842,1,612,364,2,2,6,17681517,0,0,0,1,KEEP,2
assets/models/architecture/mod_roof_4x4.gltf,architecture,3201,1,2380,1996,2,2,6,17144985,0,0,0,5,IMPROVE,1
assets/models/architecture/mod_roof_4x6.gltf,architecture,3205,1,2868,2520,2,2,6,17144985,0,0,0,5,IMPROVE,1
assets/models/architecture/mod_roof_4x8.gltf,architecture,3207,1,3466,3116,2,2,6,17144985,0,0,0,1,IMPROVE,1
assets/models/architecture/mod_roof_6x10.gltf,architecture,3208,1,4608,4300,2,2,6,17144985,0,0,0,0,KEEP,1
assets/models/architecture/mod_roof_6x6.gltf,architecture,3207,1,3700,3244,2,2,6,17144985,0,0,0,1,IMPROVE,1
assets/models/architecture/mod_roof_6x8.gltf,architecture,3206,1,4124,3796,2,2,6,17144985,0,0,0,4,IMPROVE,1
assets/models/architecture/mod_roof_8x8.gltf,architecture,3206,1,4300,3888,2,2,6,17144985,0,0,0,1,IMPROVE,1
assets/models/architecture/mod_roof_awning.gltf,architecture,3192,1,1342,1112,2,2,6,17144985,0,0,0,4,IMPROVE,1
assets/models/architecture/mod_roof_dormer.gltf,architecture,5658,1,1392,904,4,4,9,27450580,0,0,0,3,KEEP,1
assets/models/architecture/mod_roof_supports.gltf,architecture,1642,1,120,60,1,1,3,7375922,0,0,0,4,IMPROVE,1
assets/models/architecture/mod_shutters_thin_closed.gltf,architecture,1805,1,220,112,1,1,3,7375922,0,0,0,7,IMPROVE,1
