path,category,file_bytes,mesh_count,vertex_count,triangle_count,primitive_count,material_count,texture_count,texture_bytes,skin_count,bone_count,animation_count,usage_count,recommendation,flag_count
assets/models/animations/anim_library.glb,animations,6671104,1,8546,13744,2,2,0,0,1,53,46,1,KEEP,0
assets/models/architecture/bld_blacksmith.glb,architecture,624700,1,12947,7659,8,8,0,0,0,0,0,1,IMPROVE,2
assets/models/architecture/bld_cottage.glb,architecture,108028,1,3736,2336,5,5,0,0,0,0,0,1,IMPROVE,1
assets/models/architecture/bld_house_a.glb,architecture,409292,1,11436,5758,9,9,0,0,0,0,0,3,IMPROVE,2
assets/models/architecture/bld_house_b.glb,architecture,132596,1,3584,2288,4,4,0,0,0,0,0,5,IMPROVE,1
assets/models/architecture/bld_inn.glb,architecture,468276,1,12961,7756,7,7,0,0,0,0,0,1,IMPROVE,2
assets/models/architecture/mod_chimney.gltf,architecture,2820,1,524,618,2,2,6,15071220,0,0,0,7,KEEP,1
assets/models/architecture/mod_corner.gltf,architecture,1629,1,24,12,1,1,3,7375922,0,0,0,7,KEEP,0
assets/models/architecture/mod_door.gltf,architecture,2866,1,772,470,2,2,3,7375922,0,0,0,7,KEEP,0
assets/models/architecture/mod_floor_wood.gltf,architecture,1561,1,64,32,1,1,3,7375922,0,0,0,1,KEEP,0
assets/models/architecture/mod_gable_4.gltf,architecture,2840,1,368,252,2,2,6,17681517,0,0,0,4,KEEP,2
assets/models/architecture/mod_gable_6.gltf,architecture,2841,1,524,328,2,2,6,17681517,0,0,0,3,KEEP,2
assets/models/architecture/mod_roof_4x4.gltf,architecture,3201,1,2380,1996,2,2,6,17144985,0,0,0,2,IMPROVE,1
assets/models/architecture/mod_roof_4x6.gltf,architecture,3205,1,2868,2520,2,2,6,17144985,0,0,0,2,IMPROVE,1
assets/models/architecture/mod_roof_6x8.gltf,architecture,3206,1,4124,3796,2,2,6,17144985,0,0,0,3,IMPROVE,1
assets/models/architecture/mod_wall_base.gltf,architecture,1612,1,48,36,1,1,3,7375922,0,0,0,7,IMPROVE,1
assets/models/architecture/mod_wall_door.gltf,architecture,4321,1,201,137,3,3,9,25142097,0,0,0,7,KEEP,1
assets/models/architecture/mod_wall_plain.gltf,architecture,3038,1,134,86,2,2,6,17681517,0,0,0,7,KEEP,1
assets/models/architecture/mod_wall_timber.gltf,architecture,3071,1,394,248,2,2,6,17681517,0,0,0,7,KEEP,1
assets/models/architecture/mod_wall_window.gltf,architecture,4332,1,148,124,3,3,9,25292157,0,0,0,7,KEEP,1
assets/models/architecture/mod_wall_window_thin.gltf,architecture,4356,1,214,166,3,3,9,25292157,0,0,0,7,KEEP,1
assets/models/architecture/mod_window_thin.gltf,architecture,2891,1,583,418,2,2,3,7375922,0,0,0,7,IMPROVE,1
assets/models/architecture/mod_window_wide.gltf,architecture,2885,1,492,354,2,2,3,7375922,0,0,0,7,IMPROVE,1
assets/models/characters/chr_player_base.glb,characters,2336876,5,21100,10198,15,11,0,0,1,62,24,4,IMPROVE,2
assets/models/characters/fp_arm.glb,characters,73400,1,2064,1016,1,1,0,0,0,0,0,0,KEEP,2
assets/models/characters/fp_arm_left.glb,characters,90400,5,2464,1216,5,4,0,0,0,0,0,2,IMPROVE,1
assets/models/characters/fp_arm_right.glb,characters,90392,5,2464,1216,5,4,0,0,0,0,0,2,IMPROVE,1
assets/models/characters/npc_adventurer_f.glb,characters,1585676,4,13709,6808,17,9,0,0,4,62,24,4,IMPROVE,2
assets/models/characters/npc_guild_rep.glb,characters,2354928,4,22111,11100,13,9,0,0,1,62,24,5,IMPROVE,2
assets/models/characters/npc_hooded.glb,characters,1598564,5,14628,7276,17,11,0,0,4,62,24,5,IMPROVE,2
assets/models/characters/npc_innkeeper.glb,characters,1889048,4,13923,6808,17,9,0,0,1,62,24,3,IMPROVE,2
assets/models/characters/npc_kael.glb,characters,636648,3,6188,6050,11,11,0,0,2,31,24,2,IMPROVE,2
assets/models/characters/npc_merchant_f.glb,characters,1530616,4,12968,6424,9,7,0,0,4,62,24,0,KEEP,2
assets/models/characters/npc_merchant_m.glb,characters,1944116,5,20569,10198,15,11,0,0,5,62,24,2,IMPROVE,2
assets/models/characters/npc_townsman.glb,characters,1344928,4,10534,5240,13,11,0,0,4,62,24,5,IMPROVE,2
assets/models/characters/npc_townswoman.glb,characters,1491780,4,12296,6108,10,5,0,0,4,62,24,3,IMPROVE,1
assets/models/characters/npc_vendor.glb,characters,1785324,4,11143,5476,12,8,0,0,1,62,24,5,IMPROVE,2
assets/models/characters/npc_woman_dress.glb,characters,481600,1,3828,1786,5,5,0,0,1,31,11,3,IMPROVE,2
assets/models/creatures/boss_iron_king.glb,creatures,2004432,4,21693,11100,13,9,0,0,4,62,24,1,IMPROVE,4
assets/models/creatures/enm_ancient_dragon.glb,creatures,550868,1,4353,7438,5,5,0,0,1,46,8,1,IMPROVE,1
assets/models/creatures/enm_arcane_echo.glb,creatures,316376,1,1704,3296,3,3,0,0,1,38,8,1,KEEP,1
assets/models/creatures/enm_ash_dragon.glb,creatures,260748,1,2741,4562,5,5,0,0,1,13,8,1,IMPROVE,1
assets/models/creatures/enm_ash_maw.glb,creatures,142020,2,1663,2388,7,5,0,0,1,4,9,1,KEEP,1
assets/models/creatures/enm_ashen_acolyte.glb,creatures,91864,1,483,752,3,3,0,0,1,17,5,2,KEEP,0
assets/models/creatures/enm_ashfall_elk.glb,creatures,1088960,2,7473,3667,6,5,0,0,1,38,26,1,KEEP,0
assets/models/creatures/enm_bandit.glb,creatures,1829580,4,12662,6206,10,7,0,0,1,62,24,1,IMPROVE,3
assets/models/creatures/enm_barrow_wight.glb,creatures,318648,1,1768,3192,3,3,0,0,1,38,8,1,IMPROVE,3
assets/models/creatures/enm_bone_knight.glb,creatures,345448,1,2411,3144,2,2,0,0,1,38,8,1,IMPROVE,1
assets/models/creatures/enm_cinder_thrall.glb,creatures,684440,1,3247,5798,6,6,0,0,1,43,15,1,IMPROVE,2
assets/models/creatures/enm_cinder_wisp.glb,creatures,67896,2,581,1030,4,4,0,0,1,4,9,1,KEEP,0
assets/models/creatures/enm_clan_beast_tamer.glb,creatures,437460,1,3500,5252,5,5,0,0,1,38,8,1,IMPROVE,2
assets/models/creatures/enm_clan_raider.glb,creatures,437576,1,3500,5252,5,5,0,0,1,38,8,1,IMPROVE,2
assets/models/creatures/enm_clan_shaman.glb,creatures,94460,2,1050,1674,6,4,0,0,1,4,9,1,IMPROVE,2
assets/models/creatures/enm_dire_wolf.glb,creatures,1128504,1,4027,1962,4,4,0,0,1,51,24,1,KEEP,0
assets/models/creatures/enm_frost_drake.glb,creatures,260876,1,2741,4562,5,5,0,0,1,13,8,1,IMPROVE,2
assets/models/creatures/enm_frost_stalker.glb,creatures,1229064,1,3932,1920,5,5,0,0,1,49,24,1,KEEP,1
assets/models/creatures/enm_goblin.glb,creatures,750728,2,4385,7344,11,11,0,0,1,43,14,1,IMPROVE,5
assets/models/creatures/enm_grave_shade.glb,creatures,318648,1,1768,3192,3,3,0,0,1,38,8,1,IMPROVE,3
assets/models/creatures/enm_hollow_husk.glb,creatures,345140,1,2411,3144,2,2,0,0,1,38,8,1,IMPROVE,1
assets/models/creatures/enm_hollow_necromancer.glb,creatures,94460,2,1050,1674,6,4,0,0,1,4,9,1,IMPROVE,2
assets/models/creatures/enm_rime_shard.glb,creatures,183068,2,2671,4888,4,3,0,0,1,4,9,1,KEEP,1
assets/models/creatures/enm_ruin_crawler.glb,creatures,423156,1,2790,4880,6,6,0,0,1,43,8,1,IMPROVE,2
assets/models/creatures/enm_soldier.glb,creatures,120336,1,1332,2160,5,5,0,0,1,4,9,1,IMPROVE,1
assets/models/creatures/enm_stone_sentinel.glb,creatures,315164,1,3631,5864,6,6,0,0,1,13,8,1,IMPROVE,2
assets/models/creatures/enm_storm_mote.glb,creatures,79516,2,803,1520,3,3,0,0,1,4,9,1,KEEP,1
assets/models/creatures/enm_syndicate_enforcer.glb,creatures,1751916,4,11232,5500,13,9,0,0,1,62,24,1,IMPROVE,3
assets/models/creatures/enm_thornback_boar.glb,creatures,1098216,1,4922,2418,7,7,0,0,1,42,25,1,KEEP,2
assets/models/creatures/enm_ward_golem.glb,creatures,228008,1,2252,3696,4,4,0,0,1,13,8,1,IMPROVE,2
assets/models/creatures/enm_wild_dragon.glb,creatures,260692,1,2741,4562,5,5,0,0,1,13,8,1,IMPROVE,1
assets/models/creatures/enm_wolf.glb,creatures,1128156,1,4027,1962,4,4,0,0,1,51,24,1,KEEP,0
assets/models/creatures/mnt_horse.glb,creatures,1108124,1,4400,2182,8,8,0,0,1,50,26,2,KEEP,2
assets/models/equipment/eqp_pauldron_embervale.glb,equipment,8764,2,192,88,2,2,0,0,0,0,0,2,KEEP,0
assets/models/equipment/eqp_pouch_embervale.glb,equipment,12444,3,288,132,3,2,0,0,0,0,0,2,IMPROVE,1
assets/models/props/prp_anvil.gltf,props,2339,1,610,750,2,1,3,6858237,0,0,0,0,KEEP,0
assets/models/props/prp_anvil_log.gltf,props,4127,1,3376,3808,3,3,9,24363234,0,0,0,1,KEEP,0
assets/models/props/prp_arena_wall.glb,props,90772,1,3251,1670,3,3,0,0,0,0,0,1,KEEP,0
assets/models/props/prp_banner_guild.glb,props,26064,1,863,440,3,3,0,0,0,0,0,4,IMPROVE,1
assets/models/props/prp_barrel.glb,props,51760,1,1717,1312,3,3,0,0,0,0,0,5,IMPROVE,1
assets/models/props/prp_bed.gltf,props,4593,1,1694,1600,3,3,9,21122531,0,0,0,1,KEEP,1
assets/models/props/prp_bell_tower.glb,props,726048,1,20173,11799,10,10,0,0,0,0,0,1,IMPROVE,2
assets/models/props/prp_bench.glb,props,21580,1,760,376,1,1,0,0,0,0,0,5,IMPROVE,1
assets/models/props/prp_book_stand.gltf,props,1651,1,1652,1526,1,1,3,7783256,0,0,0,1,KEEP,0
assets/models/props/prp_bookcase.gltf,props,3204,1,2002,2148,2,2,6,14641493,0,0,0,1,KEEP,0
assets/models/props/prp_boulder.glb,props,2538916,1,531,522,1,1,1,2517398,0,0,0,3,IMPROVE,1
assets/models/props/prp_brazier.glb,props,22844,1,774,386,2,2,0,0,0,0,0,7,KEEP,0
assets/models/props/prp_bush_flowering.glb,props,790148,1,2304,1368,2,2,2,687035,0,0,0,4,KEEP,0
assets/models/props/prp_cabinet.gltf,props,3201,1,2511,2388,2,2,6,14641493,0,0,0,1,KEEP,0
assets/models/props/prp_cache_chest.glb,props,94848,1,3418,1676,3,3,0,0,0,0,0,3,IMPROVE,1
